	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
0	14	9634	8325	7505	7216	6651	6597	6532	6426	5828	4477	1748	1621	1191.0	717.0																																									
1	12	6883	5642	5457	5331	4201	3906	3073	2266	2182	2018	1527	956																																											
2	37	9839	9811	9779	9716	9696	9664	9535	8094	8079	8059	7886	6744	6721.0	6574.0	6391.0	4615.0	4289.0	4248.0	4176.0	3796.0	3681.0	3511.0	3384.0	2635.0	2488.0	2462.0	2433.0	2098.0	1790.0	1722.0	1678.0	1609.0	1256.0	926.0	924.0	321.0	149.0																		
3	28	9944	8508	8277	8246	7401	6065	6023	5973	5955	5623	5140	5078	4808.0	4740.0	4306.0	4256.0	3475.0	2953.0	2952.0	2921.0	2560.0	2280.0	2105.0	1681.0	883.0	507.0	381.0	18.0																											
4	26	8527	8520	8095	8061	7434	5888	5842	5564	4575	4265	3941	3780	2771.0	2630.0	2371.0	2130.0	2043.0	1938.0	1634.0	1549.0	1263.0	1242.0	1112.0	740.0	497.0	247.0																													
5	26	9982	9941	9729	7850	7842	5997	5985	4548	4374	4359	4300	4131	3778.0	3565.0	3558.0	3336.0	2970.0	2597.0	2574.0	2573.0	2040.0	2035.0	1466.0	1393.0	1299.0	674.0																													
6	32	9888	9698	9679	6847	6558	4814	4571	4536	4211	4063	3853	3749	3688.0	3550.0	3520.0	3422.0	3218.0	3030.0	2995.0	2654.0	2454.0	2135.0	2118.0	1822.0	1569.0	1182.0	1044.0	1014.0	965.0	786.0	445.0	259.0																							
7	55	9024	9019	9015	9009	8110	7915	7432	6599	5887	4966	4886	4861	4837.0	4690.0	4551.0	4540.0	4433.0	4238.0	4007.0	3976.0	3848.0	3838.0	3808.0	3767.0	3751.0	3604.0	3329.0	3225.0	3166.0	2915.0	2607.0	2325.0	2070.0	2016.0	1903.0	1754.0	1581.0	1522.0	1500.0	1494.0	1328.0	1326.0	1260.0	1226.0	1206.0	1194.0	1156.0	1039.0	950.0	898.0	810.0	726.0	684.0	551.0	124.0
8	48	9280	8522	8408	8339	8183	7823	7208	7121	6945	6755	6625	6603	6555.0	5749.0	4978.0	4890.0	4807.0	4731.0	4724.0	4639.0	4601.0	4497.0	4207.0	4075.0	3782.0	3757.0	3559.0	3319.0	3289.0	3062.0	2896.0	2598.0	2395.0	2298.0	2272.0	2093.0	1968.0	1878.0	1717.0	1530.0	1433.0	1425.0	1319.0	1200.0	947.0	839.0	691.0	582.0							
9	44	9891	9692	9642	7081	6505	6173	6172	6166	6157	6126	6112	6091	6081.0	6071.0	4874.0	4823.0	4425.0	4369.0	4224.0	4163.0	4093.0	4078.0	4000.0	3869.0	3850.0	3597.0	3503.0	3060.0	2939.0	2863.0	2760.0	2648.0	2414.0	2406.0	2387.0	2380.0	2293.0	1901.0	1709.0	1553.0	1414.0	1247.0	1232.0	359.0											
